序号,发射地省份,地市,区县,发射频率(千赫),发射功率(千瓦),节目
1,北京市,市辖区,朝阳区,720,200,中央人民广播电台对农广播
2,北京市,市辖区,朝阳区,1053,10,中央人民广播电台老年之声
3,北京市,市辖区,朝阳区,900,10,中国国际广播电台环球资讯广播
4,北京市,市辖区,朝阳区,828,50,北京人民广播电台新闻广播
5,北京市,市辖区,朝阳区,1026,50,北京人民广播电台城市服务管理广播
6,北京市,市辖区,朝阳区,603,25,北京人民广播电台故事广播
7,北京市,市辖区,朝阳区,774,10,北京人民广播电台外语广播
8,北京市,市辖区,朝阳区,927,25,北京人民广播电台青年广播
9,北京市,市辖区,崇文区,747,10,中央人民广播电台娱乐广播
10,北京市,市辖区,崇文区,846,10,中国国际广播电台英语资讯广播
11,北京市,市辖区,东城区,1008,10,中国国际广播电台外语教学广播
12,北京市,市辖区,东城区,1098,1,中央人民广播电台藏语广播/中央人民广播电台（维语）
13,北京市,市辖区,房山区,639,200,中央人民广播电台中国之声
14,北京市,市辖区,海淀区,1143,10,中央人民广播电台民族之声
15,北京市,市辖区,海淀区,1251,10,中国国际广播电台轻松调频
16,天津市,市辖区,滨海新区,1098,10,天津广播电视台文艺广播
17,天津市,市辖区,滨海新区,1386,20,天津广播电视台生活广播
18,天津市,市辖区,河东区,747,10,天津广播电视台滨海广播
19,天津市,市辖区,河东区,1008,10,天津广播电视台音乐广播
20,天津市,市辖区,西青区,909,50,天津广播电视台新闻广播
21,天津市,市辖区,西青区,1071,50,天津广播电视台经济广播
22,天津市,市辖区,西青区,567,10,天津广播电视台相声广播
23,天津市,市辖区,西青区,666,10,天津广播电视台小说广播
24,河北省,保定市,定州市,1143,1,定州市广播电视台
25,河北省,保定市,满城县,1467,10,保定人民广播电台新闻广播
26,河北省,保定市,满城县,1017,10,保定人民广播电台经济广播
27,河北省,保定市,市辖区,783,150,河北人民广播电台综合广播
28,河北省,保定市,市辖区,1125,10,河北人民广播电台经济广播
29,河北省,保定市,涿州市,1053,1,涿州市广播电视台
30,河北省,沧州市,泊头市,1188,1,泊头市广播电视台
31,河北省,沧州市,黄骅市,765,10,沧州人民广播电台综合广播
32,河北省,沧州市,任丘市,1287,1,任丘市广播电视台
33,河北省,沧州市,市辖区,1278,7.5,河北人民广播电台综合广播
34,河北省,沧州市,市辖区,693,3,沧州人民广播电台综合广播
