序号,发射地省份,地市,区县,发射台名,发射频率(兆赫),发射功率(千瓦),节目
1,北京市,市辖区,海淀区,中央广播电视发射台,106.1,10,中央人民广播电台中国之声
2,北京市,市辖区,海淀区,中央广播电视发射台,96.6,3,中央人民广播电台经济之声
3,北京市,市辖区,海淀区,中央广播电视发射台,90.0,10,中央人民广播电台音乐之声
4,北京市,市辖区,海淀区,中央广播电视发射台,101.8,3,中央人民广播电台经典音乐广播
5,北京市,市辖区,海淀区,中央广播电视发射台,106.6,3,中央人民广播电台文艺之声
6,北京市,市辖区,海淀区,中央广播电视发射台,91.5,10,中国国际广播电台轻松调频
7,北京市,市辖区,海淀区,中央广播电视发射台,88.7,10,中国国际广播电台劲曲调频
8,北京市,市辖区,海淀区,中央广播电视发射台,90.5,3,中国国际广播电台环球资讯广播
9,北京市,市辖区,海淀区,中央广播电视发射台,100.6,0.2,北京人民广播电台新闻广播
10,北京市,市辖区,海淀区,皂君庙发射台,107.3,0.1,北京人民广播电台城市广播
11,北京市,市辖区,海淀区,中央广播电视发射台,97.4,10,北京人民广播电台音乐广播
12,北京市,市辖区,海淀区,中央广播电视发射台,87.6,10,北京人民广播电台文艺广播
13,北京市,市辖区,海淀区,中央广播电视发射台,103.9,10,北京人民广播电台交通广播
14,北京市,市辖区,海淀区,中央广播电视发射台,94.5,10,北京广播电视台青年广播
15,北京市,市辖区,海淀区,中央广播电视发射台,99.6,10,中央人民广播电台中国交通广播
16,北京市,市辖区,海淀区,中央广播电视发射台,94.5,10,北京广播电视台国际音乐广播
17,北京市,市辖区,昌平区,昌平调频广播发射台,103.1,0.1,昌平区广播电视台广播节目
18,北京市,市辖区,朝阳区,北京804发射台,102.5,0.05,北京人民广播电台体育广播
19,北京市,市辖区,朝阳区,建国门外发射台,102.5,0.05,北京人民广播电台体育广播
20,北京市,市辖区,朝阳区,建国门外发射台,100.6,0.2,北京人民广播电台新闻广播
21,北京市,市辖区,朝阳区,皂君庙发射台,102.5,3,北京人民广播电台体育广播
22,北京市,市辖区,大兴区,大兴调频广播发射台,98.6,0.3,大兴区广播电视台广播节目
23,北京市,市辖区,大兴区,大羊坊收费站,99.6,0.05,中央人民广播电台中国交通广播
24,北京市,市辖区,大兴区,采育收费站,99.6,0.05,中央人民广播电台中国交通广播
25,北京市,市辖区,房山区,房山区白草畔转播台,93.2,0.3,中央人民广播电台中国之声
26,北京市,市辖区,房山区,房山区白草畔转播台,100.6,0.3,北京人民广播电台新闻广播
27,北京市,市辖区,房山区,房山区白草畔转播台,96.9,0.1,房山区广播电视台广播节目
28,北京市,市辖区,房山区,房山调频广播发射台,107.0,0.3,房山区广播电视台广播节目
29,北京市,市辖区,怀柔区,汤河口南山广播电视转播站,102.5,0.3,中央人民广播电台中国之声
30,北京市,市辖区,怀柔区,汤河口南山广播电视转播站,100.6,0.3,北京人民广播电台新闻广播
31,北京市,市辖区,怀柔区,怀柔调频广播发射台,101.3,0.3,怀柔区广播电视台广播节目
32,北京市,市辖区,怀柔区,汤河口南山广播电视转播站,93.1,0.3,怀柔区广播电视台广播节目
33,北京市,市辖区,平谷区,平谷调频广播发射台,89.2,0.3,平谷区广播电视台广播节目
34,北京市,市辖区,平谷区,平谷井台山广播电视发射台,100.0,0.1,平谷区广播电视台广播节目
35,北京市,市辖区,顺义区,顺义调频广播发射台,92.9,0.3,顺义区广播电视台广播节目
36,北京市,市辖区,通州区,通州调频广播发射台,107.7,0.3,通州区广播电视台广播节目
