序号,发射地省份,地市,区县,发射台名,频道,发射功率(千瓦）,节目
1,北京市,市辖区,海淀区,中央广播电视发射台,DS-8,30,中央电视台财经频道
2,北京市,市辖区,海淀区,中央广播电视发射台,DS-15,30,中央电视台少儿频道
3,北京市,市辖区,海淀区,中央广播电视发射台,DS-44,3,中央电视台音乐频道
4,北京市,市辖区,海淀区,中央广播电视发射台,DS-2,30,中央电视台综合频道
5,北京市,市辖区,海淀区,中央广播电视发射台,DS-6,10,北京卫视
6,北京市,市辖区,海淀区,中央广播电视发射台,DS-21,30,北京电视台文艺频道
7,北京市,市辖区,海淀区,中央广播电视发射台,DS-27,30,北京电视台科教频道
8,北京市,市辖区,昌平区,昌平电视发射台,DS-13,3,昌平区广播电视台电视节目
9,北京市,市辖区,大兴区,大兴广播电视发射台,DS-47,3,大兴区广播电视台电视节目
10,北京市,市辖区,房山区,房山区白草畔转播台,DS-23,0.3,中央电视台综合频道
11,北京市,市辖区,房山区,房山区白草畔转播台,DS-17,0.3,中央电视台军事农业频道
12,北京市,市辖区,房山区,房山电视发射台,DS-40,3,房山区广播电视台电视节目
13,北京市,市辖区,怀柔区,汤河口南山广播电视转播站,DS-13,1,中央电视台综合频道
14,北京市,市辖区,怀柔区,汤河口南山广播电视转播站,DS-47,1,中央电视台军事农业频道
15,北京市,市辖区,怀柔区,汤河口南山广播电视转播台,DS-12,1,怀柔区广播电视台电视节目
16,北京市,市辖区,怀柔区,怀柔汤河口南山广播电视转播台,DS-29,1,北京卫视
17,北京市,市辖区,怀柔区,怀柔电视发射台,DS-12,0.3,怀柔区广播电视台电视节目
18,北京市,市辖区,平谷区,井台山广播电视转播站,DS-47,1,中央电视台军事农业频道
19,北京市,市辖区,平谷区,平谷广播电视发射台,DS-4,1,平谷区广播电视台电视节目
20,北京市,市辖区,顺义区,顺义电视发射台,DS-18,3,顺义区广播电视台电视节目
21,北京市,市辖区,通州区,通州调频电视发射台,DS-39,1,通州区广播电视台电视节目
22,北京市,市辖县,密云县,密云电视发射台,DS-38,0.3,中央电视台综合频道
23,北京市,市辖县,密云县,西山广播电视转播台,DS-23,1,中央电视台综合频道
24,北京市,市辖县,密云县,西山广播电视转播台,DS-46,1,中央电视台军事农业频道
25,北京市,市辖县,密云县,西山广播电视转播台,DS-34,1,北京卫视
26,北京市,市辖县,密云县,密云不老镇白土沟西山广播电视转播台,DS-31,0.3,密云区广播电视台电视节目
27,北京市,市辖县,密云县,密云县广播电视发射台,DS-4,1,密云区广播电视台电视节目
28,北京市,市辖县,延庆县,浆棚山广播电视转播台,DS-10,1,中央电视台综合频道
29,北京市,市辖县,延庆县,浆棚山广播电视转播台,DS-41,1,中央电视台军事农业频道
30,北京市,市辖县,延庆县,浆棚山广播电视转播台,DS-24,1,北京卫视
31,北京市,市辖县,延庆县,延庆电视发射台,DS-25,1,北京电视台文艺频道
32,北京市,市辖县,延庆县,延庆电视发射台,DS-30,1,延庆区广播电视台电视节目
33,北京市,市辖县,延庆县,延庆刘斌堡乡浆棚山广播电视转播台,DS-47,1,延庆区广播电视台电视节目
34,北京市,市辖县,延庆县,延庆电视发射台,DS-4,0.3,北京卫视
35,天津市,市辖区,宝坻区,宝坻电视发射台,DS-25,1,中央电视台综合频道
36,天津市,市辖区,宝坻区,宝坻电视发射台,DS-3,1,宝坻区广播电视台电视节目
37,天津市,市辖区,滨海新区,大港区电视发射台,DS-31,0.1,大港区广播电视台电视节目
38,天津市,市辖区,滨海新区,塘沽区电视发射台,DS-46,1,塘沽区广播电视台电视节目
39,天津市,市辖区,滨海新区,汉沽电视发射台,DS-32,1,汉沽区广播电视台电视节目
