序号,发射地省份,地市,区县,发射台名,频道,发射功率(千瓦),节目
1,北京市,市辖区,海淀区,中央广播电视发射台,DS-32,1,中一等8套节目
2,北京市,市辖区,海淀区,中央广播电视发射台,DS-33,3,中七等4套节目
3,北京市,市辖区,海淀区,中央广播电视发射台,DS-27,10,北京广播电视台综合频道（高清）、科教频道、财经频道、青年频道、卡酷少儿频道
4,北京市,市辖区,海淀区,中央广播电视发射台,DS-14,1,北京广播电视台纪实频道（高清）、新闻频道（高清）
5,北京市,市辖区,海淀区,中央广播电视发射台,DS-22,1,标准测试码流数据
6,北京市,市辖区,朝阳区,总局491台,DS-22,1,标准测试码流数据
7,北京市,市辖区,朝阳区,京广中心,DS-22,1,标准测试码流数据
8,北京市,市辖区,朝阳区,名人广场,DS-22,1,标准测试码流数据
9,北京市,市辖区,房山区,房山转播站,DS-36,0.3,中七等4套节目
10,北京市,市辖区,房山区,房山转播站,DS-32,0.3,中一等8套节目
11,北京市,市辖区,怀柔区,怀柔转播站,DS-19,0.3,中七等4套节目
12,北京市,市辖区,怀柔区,怀柔转播站,DS-32,0.3,中一等8套节目
13,北京市,市辖县,密云县,密云转播站,DS-28,0.3,中七等4套节目
14,北京市,市辖县,密云县,密云转播站,DS-32,0.3,中一等8套节目
15,北京市,市辖县,密云县,密云电视发射台,DS-28,0.3,中七等4套节目
16,北京市,市辖县,密云县,密云电视发射台,DS-32,0.3,中一等8套节目
17,北京市,市辖县,平谷区,平谷转播站,DS-40,0.3,中七等4套节目
18,北京市,市辖县,平谷区,平谷转播站,DS-32,0.3,中一等8套节目
19,北京市,市辖县,延庆县,延庆转播站,DS-28,0.3,中七等4套节目
20,北京市,市辖县,延庆县,延庆转播站,DS-32,0.3,中一等8套节目
21,天津市,市辖区,宝坻区,宝坻电视发射台,DS-46,1,中一等8套节目
22,天津市,市辖区,宝坻区,宝坻电视发射台,DS-18,1,中七等4套节目
23,天津市,市辖区,南开区,天津广播电视塔,DS-45,1,中一等8套节目
24,天津市,市辖区,南开区,天津广播电视塔,DS-33,1,中七等4套节目
25,天津市,市辖县,蓟县,蓟县电视发射台,DS-46,1,中一等8套节目
26,天津市,市辖县,蓟县,蓟县电视发射台,DS-18,1,中七等4套节目
27,河北省,保定市,安国市,安国市电视发射台,DS-26,1,中七等4套节目
28,河北省,保定市,安国市,安国市电视发射台,DS-42,1,中一等8套节目
29,河北省,保定市,安新县,安新电视发射台,DS-34,0.3,中七等4套节目
30,河北省,保定市,安新县,安新电视发射台,DS-42,0.3,中一等8套节目
31,河北省,保定市,博野县,博野县电视转播台,DS-31,0.1,河北广播电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，保定市电视台新闻综合频道节目，博野县广播电视台电视节目
32,河北省,保定市,定州市,定州电视台,DS-23,1,中七等4套节目
33,河北省,保定市,定州市,定州电视台,DS-42,1,中一等8套节目
34,河北省,保定市,阜平县,阜平县电视转播台,DS-40,0.3,中七等4套节目
35,河北省,保定市,阜平县,阜平县电视转播台,DS-42,1,中一等8套节目
