序号,发射地省份,地市区,频道,发射功率（千瓦）,节目
1,北京市,朝阳区,DS-20,1,移动多媒体广播节目
2,北京市,朝阳区,DS-20,1,移动多媒体广播节目
3,北京市,朝阳区,DS-20,1,移动多媒体广播节目
4,北京市,朝阳区,DS-20,1,移动多媒体广播节目
5,北京市,丰台区,DS-20,1,移动多媒体广播节目
6,北京市,海淀区,DS-20,1,移动多媒体广播节目
7,北京市,海淀区,DS-20,1,移动多媒体广播节目
8,北京市,石景山区,DS-20,1,移动多媒体广播节目
9,北京市,西城区,DS-20,1,移动多媒体广播节目
10,天津市,南开区,DS-35,1,移动多媒体广播节目
11,河北省,保定市,DS-20,1,移动多媒体广播节目
12,河北省,沧州市,DS-39,1,移动多媒体广播节目
13,河北省,承德市,DS-31,1,移动多媒体广播节目
14,河北省,邯郸市,DS-38,1,移动多媒体广播节目
15,河北省,衡水市,DS-37,1,移动多媒体广播节目
16,河北省,廊坊市,DS-24,1,移动多媒体广播节目
17,河北省,秦皇岛市,DS-31,1,移动多媒体广播节目
18,河北省,秦皇岛市,DS-31,1,移动多媒体广播节目
19,河北省,石家庄市,DS-31,1,移动多媒体广播节目
20,河北省,石家庄市,DS-31,1,移动多媒体广播节目
21,河北省,唐山市,DS-31,1,移动多媒体广播节目
22,河北省,邢台市,DS-29,1,移动多媒体广播节目
23,河北省,张家口市,DS-27,1,移动多媒体广播节目
24,山西省,长治市,DS-26,1,移动多媒体广播节目
25,山西省,大同市,DS-48,1,移动多媒体广播节目
26,山西省,晋城市,DS-39,1,移动多媒体广播节目
27,山西省,晋中市,DS-37,1,移动多媒体广播节目
28,山西省,临汾市,DS-38,1,移动多媒体广播节目
29,山西省,吕梁市,DS-26,1,移动多媒体广播节目
30,山西省,朔州市,DS-42,1,移动多媒体广播节目
31,山西省,太原市,DS-18,1,移动多媒体广播节目
32,山西省,忻州市,DS-45,1,移动多媒体广播节目
33,山西省,阳泉市,DS-33,1,移动多媒体广播节目
34,山西省,运城市,DS-30,1,移动多媒体广播节目
35,内蒙古自治区,阿拉善盟,DS-26,1,移动多媒体广播节目
36,内蒙古自治区,巴彦淖尔市,DS-26,1,移动多媒体广播节目
37,内蒙古自治区,包头市,DS-42,1,移动多媒体广播节目
38,内蒙古自治区,赤峰市,DS-42,1,移动多媒体广播节目
39,内蒙古自治区,鄂尔多斯市,DS-35,1,移动多媒体广播节目
40,内蒙古自治区,呼和浩特市,DS-28,1,移动多媒体广播节目
41,内蒙古自治区,呼和浩特市,DS-28,1,移动多媒体广播节目
42,内蒙古自治区,呼伦贝尔市,DS-20,1,移动多媒体广播节目
43,内蒙古自治区,通辽市,DS-42,1,移动多媒体广播节目
44,内蒙古自治区,乌海市,DS-38,1,移动多媒体广播节目
45,内蒙古自治区,乌兰察布市,DS-44,1,移动多媒体广播节目
46,内蒙古自治区,锡林郭勒盟,DS-42,1,移动多媒体广播节目
47,内蒙古自治区,兴安盟,DS-44,1,移动多媒体广播节目
48,辽宁省,鞍山市,DS-29,1,移动多媒体广播节目
49,辽宁省,本溪市,DS-36,1,移动多媒体广播节目
50,辽宁省,朝阳市,DS-41,1,移动多媒体广播节目
51,辽宁省,大连市,DS-40,1,移动多媒体广播节目
52,辽宁省,丹东市,DS-40,1,移动多媒体广播节目
53,辽宁省,抚顺市,DS-37,1,移动多媒体广播节目
54,辽宁省,阜新市,DS-38,1,移动多媒体广播节目
55,辽宁省,葫芦岛市,DS-22,1,移动多媒体广播节目
56,辽宁省,锦州市,DS-34,1,移动多媒体广播节目
57,辽宁省,辽阳市,DS-19,1,移动多媒体广播节目
58,辽宁省,盘锦市,DS-45,1,移动多媒体广播节目
59,辽宁省,沈阳市,DS-32,1,移动多媒体广播节目
60,辽宁省,铁岭市,DS-39,1,移动多媒体广播节目
61,辽宁省,营口市,DS-44,1,移动多媒体广播节目
62,吉林省,白城市,DS-18,1,移动多媒体广播节目
63,吉林省,白山市,DS-36,1,移动多媒体广播节目
64,吉林省,长春市,DS-32,1,移动多媒体广播节目
65,吉林省,吉林市,DS-38,1,移动多媒体广播节目
66,吉林省,辽源市,DS-33,1,移动多媒体广播节目
67,吉林省,四平市,DS-37,1,移动多媒体广播节目
68,吉林省,松原市,DS-36,1,移动多媒体广播节目
69,吉林省,通化市,DS-35,1,移动多媒体广播节目
70,吉林省,延边朝鲜族自治州,DS-24,1,移动多媒体广播节目
71,黑龙江省,大庆市,DS-47,1,移动多媒体广播节目
72,黑龙江省,大兴安岭地区,DS-29,1,移动多媒体广播节目
73,黑龙江省,哈尔滨市,DS-13,1,移动多媒体广播节目
74,黑龙江省,鹤岗市,DS-38,1,移动多媒体广播节目
75,黑龙江省,黑河市,DS-38,1,移动多媒体广播节目
76,黑龙江省,鸡西市,DS-48,1,移动多媒体广播节目
77,黑龙江省,佳木斯市,DS-32,1,移动多媒体广播节目
78,黑龙江省,牡丹江市,DS-41,1,移动多媒体广播节目
79,黑龙江省,七台河市,DS-25,1,移动多媒体广播节目
80,黑龙江省,齐齐哈尔市,DS-46,1,移动多媒体广播节目
81,黑龙江省,尚志市,DS-27,1,移动多媒体广播节目
82,黑龙江省,双鸭山市,DS-27,1,移动多媒体广播节目
83,黑龙江省,绥化市,DS-13,1,移动多媒体广播节目
84,黑龙江省,伊春市,DS-42,1,移动多媒体广播节目
85,上海市,长宁区,DS-43,1,移动多媒体广播节目
86,上海市,浦东新区,DS-43,1,移动多媒体广播节目
87,上海市,市辖区,DS-43,1,移动多媒体广播节目
88,上海市,市辖区,DS-43,1,移动多媒体广播节目
89,江苏省,常州市,DS-46,1,移动多媒体广播节目
90,江苏省,淮安市,DS-38,1,移动多媒体广播节目
91,江苏省,连云港市,DS-36,1,移动多媒体广播节目
92,江苏省,南京市,DS-39,1,移动多媒体广播节目
93,江苏省,南京市,DS-39,1,移动多媒体广播节目
94,江苏省,南通市,DS-44,1,移动多媒体广播节目
95,江苏省,苏州市,DS-44,1,移动多媒体广播节目
96,江苏省,宿迁市,DS-48,1,移动多媒体广播节目
97,江苏省,泰州市,DS-44,0.5,移动多媒体广播节目
98,江苏省,无锡市,DS-38,1,移动多媒体广播节目
99,江苏省,徐州市,DS-32,0.5,移动多媒体广播节目
100,江苏省,盐城市,DS-20,1,移动多媒体广播节目
101,江苏省,扬州市,DS-39,1,移动多媒体广播节目
102,江苏省,镇江市,DS-29,1,移动多媒体广播节目
103,浙江省,杭州市,DS-20,1,移动多媒体广播节目
104,浙江省,杭州市,DS-20,1,移动多媒体广播节目
105,浙江省,湖州市,DS-39,1,移动多媒体广播节目
106,浙江省,嘉兴市,DS-46,1,移动多媒体广播节目
107,浙江省,金华市,DS-44,1,移动多媒体广播节目
108,浙江省,金华市,DS-45,1,移动多媒体广播节目
109,浙江省,丽水市,DS-27,1,移动多媒体广播节目
110,浙江省,宁波市,DS-15,1,移动多媒体广播节目
111,浙江省,宁波市,DS-15,1,移动多媒体广播节目
112,浙江省,宁波市,DS-15,1,移动多媒体广播节目
113,浙江省,宁波市,DS-15,1,移动多媒体广播节目
114,浙江省,宁波市,DS-15,1,移动多媒体广播节目
115,浙江省,衢州市,DS-46,1,移动多媒体广播节目
116,浙江省,绍兴市,DS-31,1,移动多媒体广播节目
117,浙江省,台州市,DS-44,1,移动多媒体广播节目
118,浙江省,台州市,DS-44,1,移动多媒体广播节目
119,浙江省,台州市,DS-44,1,移动多媒体广播节目
120,浙江省,台州市,DS-44,1,移动多媒体广播节目
121,浙江省,台州市,DS-44,1,移动多媒体广播节目
122,浙江省,台州市,DS-44,1,移动多媒体广播节目
123,浙江省,温州市,DS-43,1,移动多媒体广播节目
124,浙江省,舟山市,DS-43,0.5,移动多媒体广播节目
125,安徽省,安庆市,DS-37,1,移动多媒体广播节目
126,安徽省,蚌埠市,DS-46,1,移动多媒体广播节目
127,安徽省,亳州市,DS-27,1,移动多媒体广播节目
128,安徽省,巢湖市,DS-46,0.5,移动多媒体广播节目
129,安徽省,池州市,DS-19,1,移动多媒体广播节目
130,安徽省,滁州市,DS-37,1,移动多媒体广播节目
131,安徽省,阜阳市,DS-25,1,移动多媒体广播节目
132,安徽省,合肥市,DS-30,1,移动多媒体广播节目
133,安徽省,淮北市,DS-47,1,移动多媒体广播节目
134,安徽省,淮南市,DS-47,1,移动多媒体广播节目
135,安徽省,黄山市,DS-38,1,移动多媒体广播节目
136,安徽省,六安市,DS-36,1,移动多媒体广播节目
137,安徽省,马鞍山市,DS-42,1,移动多媒体广播节目
138,安徽省,宿州市,DS-25,0.5,移动多媒体广播节目
139,安徽省,铜陵市,DS-46,1,移动多媒体广播节目
140,安徽省,芜湖市,DS-48,0.5,移动多媒体广播节目
141,安徽省,宣城市,DS-43,1,移动多媒体广播节目
